Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,PK,CrdY,CrdR,xG,npxG,PrgC,PrgP,League
228,Achraf Hakimi,ma MAR,DF,Paris S-G,25,1998,25,24,2066,23.0,4,6,10,0,4,0,2.9,2.9,93,183,Ligue 1
319,Alexis Mac Allister,ar ARG,MF,Liverpool,25,1998,35,30,2599,28.9,5,5,10,0,6,0,2.8,2.8,36,177,Premier League
408,Cole Palmer,eng ENG,"MF,FW",Chelsea,22,2002,37,36,3191,35.5,15,8,23,4,7,0,17.3,13.3,120,214,Premier League
435,Declan Rice,eng ENG,MF,Arsenal,25,1999,35,33,2825,31.4,4,7,11,0,7,1,3.5,3.5,90,192,Premier League
180,Denzel Dumfries,nl NED,"DF,FW",Inter,28,1996,29,20,1955,21.7,7,2,9,0,4,0,5.4,5.4,55,51,Serie A
174,Désiré Doué,fr FRA,"FW,MF",Paris S-G,19,2005,31,18,1730,19.2,6,6,12,0,1,0,5.1,5.1,97,139,Ligue 1
225,Erling Haaland,no NOR,FW,Manchester City,24,2000,31,31,2736,30.4,22,3,25,3,2,0,22.0,18.8,24,20,Premier League
478,Florian Wirtz,de GER,"MF,FW",Leverkusen,21,2003,31,25,2351,26.1,10,12,22,2,3,0,9.4,6.1,131,176,Bundesliga
172,Gianluigi Donnarumma,it ITA,GK,Paris S-G,25,1999,24,24,2091,23.2,0,0,0,0,2,0,0.0,0.0,0,0,Ligue 1
207,Harry Kane,eng ENG,FW,Bayern Munich,31,1993,31,28,2381,26.5,26,9,35,9,5,0,20.3,13.3,29,97,Bundesliga
394,João Neves,pt POR,"MF,DF",Paris S-G,19,2004,29,22,1844,20.5,3,8,11,0,1,0,3.0,3.0,35,144,Ligue 1
80,Jude Bellingham,eng ENG,MF,Real Madrid,21,2003,31,29,2488,27.6,9,8,17,1,5,1,11.4,9.9,74,199,La Liga
311,Khvicha Kvaratskhelia,ge GEO,"FW,MF",Napoli,23,2001,17,15,1178,13.1,5,3,8,1,1,0,4.1,3.4,74,57,Serie A
288,Khvicha Kvaratskhelia,ge GEO,FW,Paris S-G,23,2001,14,11,916,10.2,4,3,7,0,0,0,3.3,3.3,50,43,Ligue 1
360,Kylian Mbappé,fr FRA,FW,Real Madrid,25,1998,34,34,2907,32.3,31,3,34,7,3,1,25.9,18.6,150,140,La Liga
595,Lamine Yamal,es ESP,FW,Barcelona,17,2007,35,31,2856,31.7,9,13,22,0,3,0,9.8,9.8,181,160,La Liga
367,Lautaro Martínez,ar ARG,FW,Inter,26,1997,31,31,2564,28.5,12,3,15,0,1,0,13.5,13.5,34,68,Serie A
315,Michael Olise,fr FRA,"FW,MF",Bayern Munich,22,2001,34,28,2334,25.9,12,15,27,0,3,0,9.7,9.7,119,184,Bundesliga
449,Mohamed Salah,eg EGY,FW,Liverpool,32,1992,38,38,3371,37.5,29,18,47,9,1,0,25.2,18.2,155,144,Premier League
354,Nuno Mendes,pt POR,DF,Paris S-G,22,2002,24,19,1676,18.6,1,3,4,0,3,0,2.2,2.2,58,127,Ligue 1
151,Ousmane Dembélé,fr FRA,FW,Paris S-G,27,1997,29,20,1730,19.2,21,6,27,1,1,0,16.6,15.8,127,137,Ligue 1
438,Pedri,es ESP,MF,Barcelona,21,2002,37,35,2879,32.0,4,5,9,0,3,0,2.2,2.2,92,360,La Liga
465,Raphinha,br BRA,"FW,MF",Barcelona,27,1996,36,32,2839,31.5,18,9,27,2,4,0,19.2,17.6,94,135,La Liga
306,Robert Lewandowski,pl POL,FW,Barcelona,35,1988,34,32,2667,29.6,27,2,29,3,1,0,27.1,24.0,27,48,La Liga
379,Scott McTominay,sct SCO,MF,Napoli,27,1996,34,33,2938,32.6,12,4,16,0,3,0,7.4,7.4,56,112,Serie A
347,Scott McTominay,sct SCO,MF,Manchester Utd,27,1996,2,0,19,0.2,0,0,0,0,0,0,0.1,0.1,0,1,Premier League
155,Serhou Guirassy,gn GUI,FW,Dortmund,28,1996,30,29,2598,28.9,21,4,25,3,4,0,22.7,19.6,25,43,Bundesliga
234,Viktor Gyökeres,se SWE,FW,Sporting CP,26,1998,33,31,2804,31.2,39,7,46,12,4,0,30.8,21.4,133,68,Primeira Liga
531,Virgil van Dijk,nl NED,DF,Liverpool,33,1991,37,37,3330,37.0,3,1,4,0,5,0,2.2,2.2,22,198,Premier League
534,Vitinha,pt POR,MF,Paris S-G,24,2000,29,20,2042,22.7,5,1,6,2,1,0,3.4,1.8,53,224,Ligue 1
